Intolerance
numero,refOrganisme,codeMembre,idLegume
66,266,84378,257
87,44823,28444,720
87,4193,95270,778
58,43285,67346,728
92,38385,18072,588
47,16010,74369,323
17,1094,78800,995
13,49809,12602,427
79,3559,90554,376
62,14445,50646,227
62,4923,55766,116
17,29614,38237,172
35,14097,82993,736
75,38962,12141,877
31,4162,53523,469
60,899,24567,680
99,15109,27062,755
62,42369,93369,469
55,39256,78969,571
1,21799,82849,897
40,45757,34002,144
11,34595,92800,436
21,39733,94333,439
51,49372,23414,346
37,48299,97778,20
10,17360,39996,174
59,7517,99276,161
57,37287,68927,752
43,28615,78736,752
23,15532,37549,299
67,21852,68878,636
83,32339,25934,207
35,6382,19290,711
73,39117,59616,842
27,30971,98895,596
96,9039,32435,370
91,5252,81903,144
30,27991,81312,5
89,26366,28654,397
34,3048,49321,547
71,5300,51123,323
99,22741,31829,978
39,4362,99212,10
38,35480,20898,942
29,14927,35454,20
1,40647,58544,299
64,8059,80522,680
36,32650,34336,855
15,43906,20842,574
12,5068,55388,427
20,22807,53023,648
53,26096,30737,281
47,16268,94629,206
1,28172,82084,913
53,22094,29659,942
35,17100,99984,174
10,39489,34145,880
22,8069,93533,913
99,23372,19388,648
78,32460,62781,854
52,45006,12394,637
84,10088,79833,257
83,28025,35157,466
64,28706,26093,149
76,23882,25100,646
17,3270,74575,299
33,32273,62102,257
82,28358,82195,172
79,19384,67683,646
88,490,28660,537
45,27095,93790,226
11,48161,81087,884
75,32926,75844,717
38,22577,49154,352
90,43074,71799,837
8,29316,98174,636
31,47689,59655,370
67,42080,81909,10
50,42491,20494,427
77,29530,81652,587
38,3958,13137,974
66,37567,32674,537
8,31825,55329,480
9,24491,27722,789
7,38582,14055,43
9,45939,14625,632
4,11784,48498,139
100,15877,23628,899
1,47980,20088,845
36,12215,29085,427
27,8829,75412,997
50,14609,86529,811
12,31125,14198,159
19,10250,89312,778
9,28071,18753,546
80,10013,95309,913
33,18884,23776,843
27,32905,98790,20
10,35467,48012,301
42,30100,18786,404
7,8804,37136,637
97,24502,52965,301
38,35377,88088,19
57,43056,35196,636
70,16264,22125,43
64,2668,16547,286
44,13449,60276,704
85,40409,82404,842
82,8606,11508,419
93,46180,73139,415
65,3512,79741,397
85,22610,21682,327
85,34413,83065,123
50,15184,26625,844
18,42145,14420,323
92,44177,72135,316
23,27554,75012,632
80,10448,18005,909
88,34802,98146,997
13,12513,75828,20
5,17049,17444,480
40,32131,68041,913
49,1964,89826,255
32,8788,12512,755
72,24423,53992,840
45,572,29404,711
85,18927,44524,742
71,44919,40903,404
56,47387,79784,149
86,25661,76079,752
96,1091,76068,587
35,20718,24803,469
48,13996,14056,424
76,16402,36749,519
56,19115,89626,480
87,775,25229,756
12,25551,84773,227
99,28019,43083,680
80,42621,53106,861
88,41142,27858,189
36,41666,79486,43
46,20266,15795,116
67,14590,78152,174
23,6996,97101,611
82,1333,53451,427
72,41035,82699,574
65,34351,58821,880
61,34276,15473,845
68,21910,39198,880
88,38320,96581,125
59,29263,90781,125
96,40732,93165,611
68,29841,44321,226
48,40506,89032,590
64,11800,76075,512
1,21942,42655,10
82,23156,55650,978
8,19696,36580,480
16,13183,51733,226
75,29520,13407,587
1,39177,66702,974
21,35557,84603,840
68,47232,95037,742
70,22104,46740,574
28,47792,95453,206
74,120,23208,897
43,43822,50467,861
5,5645,26032,752
81,30834,20266,473
49,35620,53298,373
41,3135,99332,149
74,18209,32064,869
23,2085,16226,765
71,43764,47642,588
52,18770,78882,419
82,3910,95901,227
45,45651,17208,984
99,4869,67085,427
56,3224,87967,884
70,27256,21668,854
69,7329,13707,855
62,18932,91058,436
83,35943,60818,778
40,42811,84965,770
93,37218,40871,974
20,94,39308,997
69,7439,79717,546
80,35309,85844,720
95,36274,22894,789
80,37623,67066,571
66,18162,97844,207
74,34642,60785,588
48,35475,40109,843
30,2622,80314,159
68,14911,39601,591
26,1734,15601,752
64,42510,11541,704
56,6540,91999,281
81,46196,61017,546
27,16234,42060,346
51,29257,92074,450
99,33873,39534,299
51,49636,97468,636
50,17962,95568,950
46,40038,75894,588
27,5382,37370,19
48,44712,21900,10
91,40501,90221,227
49,35907,67213,913
31,12089,96637,756
62,41052,27917,373
73,16617,58178,855
1,26573,55587,897
83,43892,22126,778
75,18305,70856,913
91,32062,88929,187
79,31275,36166,404
79,18259,62263,984
65,5317,54783,19
75,24765,17379,974
53,48713,79524,547
84,1409,84940,123
65,49114,78401,469
60,40907,73715,978
3,46045,27807,863
89,31659,55193,778
12,36669,40684,144
88,47291,19251,646
68,42743,83511,206
24,44483,77025,845
7,7836,32564,728
100,10937,67641,540
17,49397,73452,588
28,13825,68772,546
70,3033,55674,344
60,30131,83705,123
35,21308,73079,872
80,16611,37896,517
87,6455,44233,316
92,590,64788,540
55,30370,44688,540
78,40596,53040,637
58,32512,66284,591
39,27429,60975,369
44,43247,51594,925
1,3014,28130,843
45,25906,13434,632
72,3225,55743,844
11,44721,80149,632
66,29432,81343,43
80,40026,78930,174
64,29090,20077,369
80,23742,96320,226
4,28686,57302,301
33,20885,47575,301
61,2430,92224,680
65,28186,82716,517
64,6643,16135,632
15,29678,17544,842
46,26189,85489,323
75,30042,67895,773
2,26384,61546,574
67,26012,83214,19
4,43053,83276,373
37,12731,69300,764
96,2501,74172,591
48,11903,51344,811
5,24046,46514,574
82,16597,29976,161
17,25000,61731,161
41,39469,90839,704
93,40458,53259,480
20,10674,83597,546
9,44043,37713,323
23,33257,50017,587
31,34036,35037,517
15,30217,66752,225
6,46199,76919,837
25,29294,47468,636
90,7041,91330,116
56,46710,97802,512
62,17986,43683,571
84,30292,42725,736
25,4236,36818,680
50,49728,92995,773
31,40143,38009,899
17,31210,95223,323
50,46568,80486,884
19,2200,68471,680
61,34229,59908,897
49,2052,27727,397
88,17395,37685,436
45,17308,23988,466
1,6482,42993,704
22,40012,78046,161
24,30704,29657,646
82,18703,88840,419
34,7336,52777,844
53,30335,17107,375
98,32042,21095,371
45,10282,96789,844
37,5525,83983,899
27,487,75173,995
56,35232,17785,942
85,30774,11499,728
78,23603,65938,844
63,25863,90660,736
66,17947,31074,139
43,18954,13719,161
27,3351,58656,861
84,7576,61408,123
43,31978,69855,736
15,21079,93055,286
85,40465,71610,770
100,15087,98612,344
87,49280,49603,756
5,36870,77459,376
69,48453,86098,43
60,29621,25261,397
48,12865,47455,207
14,41207,15695,611
51,49585,88574,125
46,44014,91767,540
25,16380,89846,187
91,30803,46883,844
79,6094,70936,611
13,12322,69891,755
16,13913,75438,736
61,46726,45822,840
79,27693,41842,376
90,31552,27739,375
20,31908,65205,375
77,21573,16472,149
23,23132,98323,925
51,42002,93126,789
81,40857,37047,571
18,33599,86413,189
78,10277,28054,978
87,33248,46785,909
70,2896,50067,728
9,37995,85854,323
89,13809,77377,611
90,10152,97023,469
23,13580,73962,974
25,12790,17460,352
21,23594,16087,370
96,35001,12540,174
85,40724,60837,995
71,32202,66815,711
48,17702,84209,728
38,37819,95297,436
19,40543,36395,227
93,29785,81934,369
49,30616,77649,43
13,48308,52057,844
88,10770,83294,149
27,7822,86520,884
14,8492,70131,913
17,32795,43585,636
33,167,14921,925
73,2914,14728,450
56,46363,68073,789
11,41243,74882,519
99,28955,33290,596
38,34472,49252,764
70,39123,26556,648
64,20164,95012,720
5,21227,95084,373
42,11779,88245,863
74,34451,19605,571
31,21156,77367,680
42,26966,32696,974
14,21446,71327,161
54,44626,50195,246
64,48015,95846,590
19,41806,86544,346
37,26030,68236,720
34,29633,65605,765
98,10426,69703,717
29,35641,64036,880
18,9004,21830,144
49,45930,55712,755
78,3653,64435,591
20,44779,22989,226
99,10845,46128,512
34,40232,38841,752
58,18967,59337,286
18,41010,72729,646
14,32642,96015,116
36,5084,46692,473
71,31234,83757,648
61,23400,83655,327
11,22015,52574,764
73,20869,22073,480
22,34087,92338,925
82,30498,70612,144
24,4055,57216,540
5,35160,31113,537
90,25382,53846,246
58,41565,49009,789
20,45619,37572,436
20,5843,66624,375
20,26129,18245,373
56,31569,76442,10
15,18913,74824,590
85,44661,35639,869
99,23237,54785,20
69,2718,68434,137
22,7223,33687,323
77,47508,85222,125
4,26166,68916,427
52,31722,46825,332
12,32535,50369,637
20,36980,49588,376
37,5345,30807,123
52,326,66762,704
97,2578,25016,537
70,41898,29610,137
32,12039,30412,473
44,41339,63604,646
57,37012,47708,547
55,37675,47942,863
95,15628,15159,125
14,15756,14219,884
47,42638,95973,189
88,40385,84025,20
22,4856,60919,370
12,29317,32425,978
59,2424,69380,517
17,11020,46186,909
39,19026,25506,978
20,31564,30151,596
15,40679,28222,225
25,10115,66749,196
45,17596,49474,646
53,11312,69301,19
81,17793,70139,728
21,42966,64197,756
20,27506,38668,728
48,21992,20517,466
97,33262,68679,995
97,37081,22797,327
5,17516,90888,717
93,11945,59366,974
26,27876,43383,123
36,32988,24951,159
50,2512,35029,680
85,44342,49789,373
84,10705,53464,574
86,15966,64472,159
96,9347,33184,880
50,5532,28458,899
29,30630,59996,950
83,16424,67265,172
52,46683,62971,752
40,20277,38203,187
45,13060,42095,842
2,13044,90294,728
12,24507,87413,469
70,13732,41514,637
47,46371,84692,246
23,12272,87660,149
37,45083,65487,427
68,14995,94344,189
19,41896,14910,547
36,2606,93784,880
30,12477,15157,540
55,25838,20390,397
66,11642,92542,371
85,34934,97286,370
11,36386,57816,279
31,15799,39123,427
39,3878,45580,742
47,45598,37794,880
98,38245,13850,371
52,17556,48760,144
10,2335,38462,574
45,36296,95655,588
15,15243,99185,680
10,5458,96071,590
93,14507,68432,281
60,9735,77138,19
13,41627,63497,20
28,27851,50962,375
30,9691,18706,376
45,31127,23159,43
3,1700,15261,5
39,3215,75887,139
78,34866,77380,255
8,27584,96880,281
70,21963,33683,404
75,39025,59853,20
99,9858,42591,995
64,2233,90183,843
52,12984,49868,5
41,7536,73446,10
97,17780,31456,840
34,47036,97194,950
60,4102,19176,375
33,26128,97169,773
78,21746,22357,590
52,18298,52958,352
27,34580,59026,811
97,6868,95317,187
15,7192,33947,375
86,31711,77104,588
9,20218,13547,206
57,48534,81341,680
54,21526,29100,546
94,27242,38122,717
67,31523,29563,227
53,13231,69791,844
54,31470,83783,842
91,32851,17729,854
89,46726,89566,473
76,46099,73179,344
55,20060,79630,123
23,23928,36324,469
33,31028,99579,909
27,46110,68389,286
48,43312,84973,845
90,32811,31254,537
96,45329,99969,637
62,42781,74320,588
55,2743,81754,172
27,5113,98657,995
86,18084,64612,632
12,44397,68188,547
40,9260,21857,764
13,5247,51366,226
63,11643,47638,373
83,22161,78667,323
35,34875,47907,872
72,49865,72521,346
66,47902,12355,352
30,29790,32755,196
70,44315,74414,863
92,25217,14970,897
59,32514,42821,346
92,9645,13530,139
15,17641,97175,346
15,24826,93622,144
63,9987,78873,346
48,42299,86474,149
18,49488,99392,225
6,15984,72879,778
87,16589,59437,149
85,18828,38811,778
57,41198,66433,756
61,6841,70453,648
15,28645,58363,648
14,38285,71241,877
87,2835,20506,189
97,47430,22007,742
14,35886,18605,404
16,30163,51111,636
84,44365,78408,10
8,102,79318,299
49,15321,41373,811
56,37276,95334,196
87,46815,65582,837
79,36652,89948,704
37,23190,45587,369
20,21040,69780,587
46,42297,22304,466
45,33918,26729,591
37,20370,14714,427
89,31740,28416,547
76,40385,19381,519
59,17095,65630,845
20,29119,60996,574
15,21266,79549,855
96,20012,14229,765
68,5116,17602,397
27,5408,78537,854
14,48137,98553,172
82,19413,52539,637
8,35378,86680,854
71,27227,66983,942
48,11422,19820,646
7,3430,94187,10
83,42546,95191,161
4,43985,16932,279
96,24185,37409,187
6,22110,58488,10
31,36023,56270,344
84,48387,91657,397
76,46394,18884,742
62,43339,49757,469
31,16278,53084,636
53,3532,86974,863
21,16217,96743,899
14,27406,45161,323
90,35993,20902,123
84,5472,50685,877
66,28459,21561,517
97,34363,21412,257
70,13561,33542,397
11,7089,96006,588
99,44582,61093,680
4,7572,30064,704
69,35145,23844,646
62,31133,31987,717
70,31840,88165,978
31,27874,66658,466
32,27985,45830,332
8,7762,68240,10
64,20985,20564,736
82,31165,33371,913
52,15871,56625,588
67,13851,95865,469
80,22580,49181,752
78,41521,38602,512
93,10039,92944,648
23,26685,61510,480
3,8601,86094,773
74,25380,53774,519
8,9802,75465,869
10,31796,91623,369
87,29656,73535,897
14,45130,14717,842
16,33696,22445,198
82,20501,49829,116
83,2174,22073,10
4,26237,60854,978
47,17656,17348,974
67,27158,98773,913
98,29853,51652,327
38,615,11018,842
53,29644,39068,637
37,11934,57738,680
60,17151,62493,196
55,17193,61431,344
77,39575,69603,728
17,8763,66419,869
17,46341,24078,984
62,6929,46473,480
20,42362,20061,899
30,12751,46210,909
15,21764,35840,840
31,42550,91213,863
61,3418,33709,43
29,21838,69756,144
87,39869,57831,855
7,40061,58938,773
34,30935,55677,540
32,46736,70585,884
20,8487,84280,636
49,26687,77657,717
40,40873,67078,20
7,44449,89151,995
98,14918,36498,855
20,28189,67948,144
41,16970,12774,424
38,17215,91753,255
73,47835,49032,424
30,21008,41120,974
26,31048,79408,863
23,17726,93183,842
75,49836,65637,439
6,45785,18756,316
73,44971,71293,843
87,9823,46270,299
83,41666,45421,370
27,11299,96486,159
28,42519,81952,869
82,40178,57276,137
90,7740,23274,884
16,858,90786,925
7,3443,60650,139
71,15081,73452,436
33,29933,15208,323
98,48277,44559,450
40,2847,48421,419
27,26776,52022,149
35,711,69807,225
56,2989,84745,376
31,36639,73068,332
62,49584,91228,466
14,30496,37320,950
6,23090,61614,123
85,24680,55104,369
32,43750,93547,854
82,5762,30124,397
74,32209,54530,704
59,37046,88174,637
35,35369,92029,843
21,32114,34155,773
3,47137,91846,404
50,18410,16269,728
47,42791,86777,770
66,6103,22411,370
23,8798,35210,950
25,40164,81961,974
99,1643,70921,346
35,57,43116,286
13,4608,95582,717
11,41895,82916,397
7,30805,72955,469
49,7202,85907,646
21,1622,46071,424
85,12217,13734,995
4,19195,13716,286
22,3125,50050,404
14,13238,61019,590
35,27737,60942,845
96,7724,67205,255
10,9888,98779,540
45,33098,96412,861
19,5911,11466,899
19,47323,24944,286
22,49222,50324,789
4,1545,37793,327
74,3883,24105,370
6,29097,30617,842
47,16587,67064,207
48,15259,42920,20
60,38015,88096,139
76,47252,14047,517
8,40733,97432,648
78,41784,81759,765
67,5817,21317,473
48,8324,20813,371
96,3706,43743,397
74,34414,88904,811
20,18390,98251,206
7,28976,66752,880
56,3916,21660,159
41,49751,56318,942
30,26514,35278,742
93,31949,56594,43
9,34778,99798,720
97,10309,99842,925
8,29781,89572,346
26,43721,33154,517
35,44214,96783,574
13,28295,59125,279
77,11618,45900,352
13,31033,84630,466
65,25579,11511,5
69,14081,97562,704
57,39153,14835,811
19,21915,75713,742
38,21918,51006,950
36,10416,54685,736
67,19907,89253,547
78,6203,35258,5
44,28283,53215,149
13,47167,98780,332
45,40778,21761,844
74,24185,86740,995
81,9926,49500,547
10,4085,72139,717
71,23156,66815,43
11,30619,55314,974
63,49936,23673,19
40,25602,25160,161
4,10717,57780,370
92,26335,24080,736
19,15954,91697,909
48,29173,18156,375
10,8700,35504,547
64,20456,80808,369
20,47480,92765,517
50,12902,71093,764
59,6107,38496,752
77,27013,85180,978
24,24400,90697,872
69,48531,33727,837
50,22396,95406,19
14,28303,24184,189
68,42023,49598,286
12,27850,43586,752
74,9706,61746,189
35,48456,34168,415
44,37562,77777,369
95,1549,64430,20
60,32792,76569,316
64,12493,88841,877
55,31688,77822,717
39,13780,86858,611
50,2838,77358,466
70,20307,67117,332
47,34191,14634,863
70,30194,35933,316
64,40789,50720,255
74,17779,29563,574
31,36758,16342,473
1,13114,13401,540
99,17333,71487,43
51,3615,52280,206
4,47119,51344,590
61,3360,19685,854
32,42820,14915,144
9,49089,63040,845
14,309,36318,123
15,33907,11551,225
27,12821,92420,439
3,44293,27261,571
51,40814,83645,172
94,22400,89174,872
44,34866,40028,346
95,23093,85679,159
4,23898,92297,773
65,11862,31814,978
46,6867,94665,704
32,3937,44197,773
43,26329,85141,690
19,26679,21916,415
82,29075,54086,704
41,17150,29481,327
47,44286,12053,995
64,39108,84183,332
83,34499,34190,869
43,39327,25256,863
80,19706,13908,226
81,42452,28603,590
41,37760,69350,373
15,42812,34547,840
34,49062,43488,466
82,11168,88395,139
15,10700,29292,764
66,28394,50324,43
39,44025,96133,436
78,42955,74224,427
88,34772,24319,323
76,859,53801,206
20,42570,23709,897
58,1901,33412,206
88,26399,12052,346
96,2973,34200,10
74,41433,52687,863
2,4482,51531,845
71,32189,18358,344
32,38941,51797,591
93,26347,72008,648
1,11971,26648,450
6,48886,52872,690
27,32558,41821,149
63,14175,97959,680
13,17588,41951,854
10,20544,46603,574
43,29969,95054,789
27,27192,89778,756
94,15112,84202,611
59,34856,76351,837
67,3012,13276,20
19,16561,83176,137
70,10627,48616,404
7,29758,82668,596
13,44866,48974,997
25,7739,40315,925
98,38217,66444,704
84,27652,71841,517
84,38042,30331,172
98,1832,18028,587
61,48918,21545,159
28,34820,25083,227
42,31668,54971,611
11,7532,39796,752
60,13505,28406,811
95,18357,21197,369
60,34245,73458,370
6,47336,42200,840
50,30551,23353,872
35,30141,93120,370
83,18505,28465,720
39,30243,11165,995
1,3267,39399,352
24,36034,76089,225
79,3399,86058,720
12,35021,64381,137
56,13463,73122,646
13,8010,52123,837
76,12464,46159,172
44,14621,60212,5
5,29627,63083,370
33,33900,72530,415
68,49235,97765,880
55,37861,90277,370
85,15826,38851,752
53,42755,19911,690
44,30678,11315,855
36,13302,33746,704
70,41556,47407,789
72,29176,42016,519
85,38166,91663,547
92,12392,58737,427
58,38250,46695,843
17,39542,92748,187
57,20615,17832,427
4,46065,42687,125
78,37132,33281,742
43,25857,84107,10
69,14253,30365,149
80,19032,97222,872
75,31865,17852,765
84,51,66175,950
55,2763,79859,680
27,13039,23085,5
72,20030,63707,344
20,2186,48596,206
66,27457,37141,473
50,42762,42494,773
80,2229,28232,43
35,40457,52133,869
23,46015,90783,837
86,3346,77338,255
25,33937,67560,207
76,38982,72115,843
57,7010,51000,149
12,34452,14498,415
58,46578,35854,897
43,16459,50403,137
6,29771,82184,159
51,16779,51929,257
35,9552,34770,346
54,25625,66982,811
36,13006,36087,327
2,24536,56250,196
86,9510,15599,323
23,46973,39273,139
23,45882,42302,344
75,5634,50162,540
39,36718,26100,373
39,49469,19512,596
45,25225,46835,370
10,32213,24249,20
64,2981,57979,149
54,8013,79979,540
32,17284,33867,571
23,2711,23883,19
69,25385,14142,978
40,39731,77185,611
38,1336,62644,316
11,48681,34167,519
68,17534,40999,139
10,37287,61427,720
8,31633,92123,537
24,26324,14282,897
13,28924,33831,897
10,40137,35850,424
40,19674,18571,439
40,44717,94529,10
86,33563,74153,439
66,33264,34836,909
43,49992,56801,843
1,44213,13590,281
100,37925,95065,837
43,45645,34234,811
60,1736,79527,227
55,1745,11028,855
69,33234,22688,375
67,35942,90960,872
76,13714,11029,637
36,12358,20383,404
79,49657,16932,196
40,18812,23870,899
41,42794,64591,207
76,28259,89544,116
23,8772,77104,19
46,666,21260,736
30,40083,70097,854
65,1161,95102,611
53,1994,30204,880
52,12051,67377,123
5,6560,68688,473
20,6306,75444,327
47,48636,72791,206
21,3048,47656,591
70,22410,75412,373
80,10939,24763,257
33,16460,16148,246
12,26863,79112,323
6,39788,41488,974
68,15488,79286,884
71,25600,55391,869
71,15125,35189,116
87,3109,13997,424
99,36804,78311,611
25,45525,48192,877
68,4361,30297,397
56,6832,31210,728
71,18645,45510,149
60,34383,95284,880
39,5740,81744,404
94,28375,18083,717
86,33913,55942,974
29,9728,16032,20
7,46786,82284,225
56,44108,11506,588
59,10331,88922,207
51,18529,68842,942
17,6174,16957,778
95,7727,56260,546
83,49,12171,855
65,35253,66777,419
15,6754,80169,574
40,25285,66982,419
48,29497,74492,720
80,3952,68990,397
94,45885,32087,172
14,3360,76142,843
58,20013,57675,611
100,45409,38566,123
46,13874,98487,588
41,46920,96792,139
58,931,97570,837
49,29845,70332,984
73,35271,54716,789
100,21820,79735,950
37,44049,71849,255
86,1119,28724,596
82,15165,75511,196
76,20574,77855,648
19,1497,76855,352
64,6431,87876,226
16,17017,93130,877
84,29161,89019,611
71,27594,62465,439
74,13026,16921,778
22,47405,44177,925
11,40444,34285,316
18,31768,91594,517
25,45885,42146,450
8,27067,18538,765
1,23800,38285,370
33,3691,93448,704
7,25596,93886,161
59,21217,27185,370
17,42986,87705,632
20,49308,44038,897
70,37151,23535,571
88,42976,46349,286
23,3225,38125,884
90,18109,49254,596
66,20538,59838,899
21,4713,31578,855
18,5255,51608,680
47,11922,55309,840
90,5535,83838,323
70,24663,95339,301
7,14991,19808,332
66,5535,93895,198
65,34020,28168,773
77,28967,60950,286
49,38150,23821,995
97,35049,70333,281
29,40943,13234,925
62,17750,33318,720
